id,question,subject,difficulty,marks,year,units
41,"Write a short note direct memory access.",DLDM,Medium,06,Second,Unit 5
42,"Explain interrupts in 8086 microprocessor.",DLDM,Hard,06,Second,Unit 5
43,"what is direct and indirect addressing made?",DLDM,Easy,06,Second,Unit 5
44,"Explain relative and index addressing mode.",DLDM,Medium,06,Second,Unit 5
45,"What is data transfer instructions?",DLDM,Easy,06,Second,Unit 5
46,"Explain bit inherent and bit direct addressing mode",DLDM,Medium,06,Second,Unit 5
47,"Explain arithmetic and logical instruction.",DLDM,Easy,06,Second,Unit 5
48,"Explain branch instruction and subroutine instruction.",DLDM,Medium,06,Second,Unit 5
49,"Explain bit manipulation instruction.",DLDM,Hard,06,Second,Unit 5
50, "Write a short note on assembler and compiler. ",DLDM,Hard,06,Second,Unit 5
51,"What is programming and debugging tools.?",DLDM,Hard,06,Second,Unit 5


52,"Explain types of scaling in cloud computing .Sate benefits and limitations of cloud computing.",Cloud Computing,Medium,06,Final,Unit 1
53,"What is Virtualization? Explain types of virtualization.",Cloud Computing,Medium,06,Final,Unit 1
54,"Explain the challenges and benefits of cloud computing ",Cloud Computing,Medium,06,Final,Unit 1
55,"Define Cloud Computing & identify its core features.",Cloud Computing,Easy,06,Final,Unit 1
56,"Draw and explain in detail Machine references model ",Cloud Computing,Easy,06,Final,Unit 1
57,"Illustrate the concept of “Cloud Cost Model” with example.",Cloud Computing,Easy,06,Final,Unit 1
58,"Draw and explain the cloud computing architecture.",Cloud Computing,Hard,06,Final,Unit 1
59,"State essential characteristic of cloud computing.",Cloud Computing,Easy,06,Final,Unit 1
60,"Explain in short different cloud computing models.",Cloud Computing,Hard,06,Final,Unit 1
61,"Highlight three challenges organizations may face when migrating to the cloud and suggest potential solutions.",Cloud Computing,Hard,06,Final,Unit 1
62,"Define and compare the pay-as-you-go and subscription economic models in cloud computing.",Cloud Computing,Medium,06,Final,Unit 1
63,"Differentiate between Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS).",Cloud Computing,Medium,06,Final,Unit 1
64,"Explain Cloud Computing Reference Model",Cloud Computing,Hard,06,Final,Unit 1
65,"Explain Virtualization and its different environment",Cloud Computing,Easy,06,Final,Unit 1
66,"Explain the vision of Cloud Computing",Cloud Computing,Easy,06,Final,Unit 1

67,"Explain the deployment Model of Outsource & Onsite Community Cloud",Cloud Computing,Medium,06,Final,Unit 2
68,"Interpret the deployment Model of Hybrid Cloud",Cloud Computing,Medium,06,Final,Unit 2
69,"Explain the Platform as a service with the help of Example",Cloud Computing,Easy,06,Final,Unit 2
70,"Discuss the significance of data centers in supporting the expanding demands of cloud services.",Cloud Computing,Hard,06,Final,Unit 2
71,"Explain the role of cloud management in overseeing and optimizing cloud infrastructure.",Cloud Computing,Easy,06,Final,Unit 2
72,"Discuss the primary requirements that influence the design of a data center for cloud infrastructure.",Cloud Computing,Easy,06,Final,Unit 2
73,"Explain the virtualization reference model with neat sketch.",Cloud Computing,Easy,06,Final,Unit 2
74,"What is virtualization and what are its benefits?",Cloud Computing,Easy,06,Final,Unit 2
75,"Differentiate between Type-1 and Type-2 Hypervisor.",Cloud Computing,Easy,06,Final,Unit 2
76,"Enlist and represent the service levels for cloud application.",Cloud Computing,Easy,06,Final,Unit 2
77,"Describe and explain various types of cloud with Suitable example",Cloud Computing,Easy,06,Final,Unit 2
78,"Discuss the concept of Database Management in the cloud.",Cloud Computing,Medium,06,Final,Unit 2
79,"Explain open challenges for implementing cloud computing technology.",Cloud Computing,Hard,06,Final,Unit 2
80,"What cloud providers does for Iaas? Explain scope of between provider and consumer.",Cloud Computing,Hard,06,Final,Unit 2
81,"Explain transactional integrity through stored procedure.",Cloud Computing,Medium,06,Final,Unit 2

82,"What is DBaaS? Explain DBaaS benefits.",Cloud Computing,Easy,06,Final,Unit 3
83,"Explain the concept of capacity planning in the context of cloud scaling.",Cloud Computing,Easy,06,Final,Unit 3
84,"Explain disaster recovery planning with risks and benefits.",Cloud Computing,Medium,06,Final,Unit 3
85,"Explain the concept “The Impact of Load”.",Cloud Computing,Medium,06,Final,Unit 3
86,"Briefly summarize the term “The value of your capacity”.",Cloud Computing,Hard,06,Final,Unit 3
87,"Define and explain in detail Disaster recovery planning.",Cloud Computing,Easy,06,Final,Unit 3
88,"Explain the concept Map Reduce with an example.",Cloud Computing,Easy,06,Final,Unit 3
89,"What is storage virtualization? Explain different types of storage virtualization.",Cloud Computing,Medium,06,Final,Unit 3
90,"Explain the different components of Hadoop and its advantages.",Cloud Computing,Easy,06,Final,Unit 3
91,"Define virtualization and briefly explain how it enables the efficient utilization of computing resources.",Cloud Computing,Hard,06,Final,Unit 3
92,"Explain how SDN decouples the control plane and data plane in network infrastructure.",Cloud Computing,Hard,06,Final,Unit 3
93,"Explain how virtualization contributes to the scalability and efficiency of cloud-based services.",Cloud Computing,Hard,06,Final,Unit 3
94,"Identify the essential components of cloud computing required for defining the Cloud for Enterprise with the help of Example",Cloud Computing,Medium,06,Final,Unit 3
95,"Explain Database as a service for cloud as an enterprise",Cloud Computing,Easy,06,Final,Unit 3
96,"Explain the Disaster Recovery Scenario with AWS Cloud",Cloud Computing,Medium,06,Final,Unit 3

97,"Explain Aneka Framework Overview?",Cloud Computing,Easy,06,Final,Unit 4
98,"Explain different services of Aneka Cloud?",Cloud Computing,Easy,06,Final,Unit 4
99,"Explain the role of Platform Abstraction Layer(PAL) in Aneka Container",Cloud Computing,Medium,06,Final,Unit 4
100,"Identify and explain two challenges that organizations may face in implementing and managing cloud storage solutions.",Cloud Computing,Hard,06,Final,Unit 4
101,"Provide a brief comparison between the data models of HBase, MongoDB, Cassandra, and DynamoDB.",Cloud Computing,Hard,06,Final,Unit 4
102,"Explain the concept of cloud storage and how it differs from traditional on-premises storage solutions.",Cloud Computing,Hard,06,Final,Unit 4
103,"Discuss the concept of Amazon web service in cloud.",Cloud Computing,Easy,06,Final,Unit 4
104,"What do you understand by Googel App Engine? Explain its benefits.",Cloud Computing,Medium,06,Final,Unit 4
105,"Define Backup and mention some requirements of backup in detail.",Cloud Computing,Easy,06,Final,Unit 4
106,"Generalize the term “Aneka container “what is its use.",Cloud Computing,Medium,06,Final,Unit 4
107,"Explain the logical organization of an Aneka Cloud.",Cloud Computing,Hard,06,Final,Unit 4
108,"Briefly summarize Aneka’s resource-provisioning capabilities.",Cloud Computing,Medium,06,Final,Unit 4
109,"Describe and classify services installed in the Aneka container.",Cloud Computing,Easy,06,Final,Unit 4
110,"Explain resource reservation service in Aneka.",Cloud Computing,Hard,06,Final,Unit 4

111,"How cloud computing can be applied to support E-health and Telemedicine.",Cloud Computing,Medium,06,Final,Unit 5
112,"Explain Amazon EC2 and its basic features & related services.",Cloud Computing,Easy,06,Final,Unit 5
113,"What are Dropbox and iCloud ?Which types of problem do they solved by using cloud technologies.",Cloud Computing,Easy,06,Final,Unit 5
114,"Discuss the concept of a bucket? What type of storage does it provide?",Cloud Computing,Easy,06,Final,Unit 5
115,"What is Windows Azure? Discuss the storage services provided by Windows Azure.",Cloud Computing,Medium,06,Final,Unit 5
116,"Describe how cloud computing technology can be applied to support remote ECG monitoring",Cloud Computing,Hard,06,Final,Unit 5
117,"Explain briefly the security concerns of cloud computing.",Cloud Computing,Easy,06,Final,Unit 5
118,"Which challenges does the cloud security need to face in day to day life?",Cloud Computing,Medium,06,Final,Unit 5
119,"Differentiate between the cloud storage and traditional storage.",Cloud Computing,Easy,06,Final,Unit 5
120,"Explain the basic architecture of Amazon S3, including its storage classes and access control features.",Cloud Computing,Hard,06,Final,Unit 5
121,"Define cloud object storage and explain its fundamental principles in comparison to traditional storage models.",Cloud Computing,Medium,06,Final,Unit 5
122,"Discuss the factor that organizations should consider when choosing between the cloud object storage services.",Cloud Computing,Hard,06,Final,Unit 5
123,"Interpret the various Amazon Web Services with the help of example",Cloud Computing,Easy,06,Final,Unit 5
124,"Classify the various applications of cloud computing",Cloud Computing,Easy,06,Final,Unit 5
125,"Interpret the usage of cloud computing in Biology: Protein Structure Prediction",Cloud Computing,Hard,06,Final,Unit 5


126,"What is Artificial Intelligence? Explain its future scope.",AI,Easy,06,Final,Unit 1
127,"Write down brief history and evolution of Artificial Intelligence.",AI,Hard,06,Final,Unit 1
128,"Explain in detail, the structure of different intelligent agents.",AI,Medium,06,Final,Unit 1
129,"Elaborate Artificial intelligence with suitable example along with it’s application.",AI,Medium,06,Final,Unit 1
130,"Discuss the historical evaluation of Artificial Intelligence.",AI,Hard,06,Final,Unit 1
131,"State the relationship between Agent and Environment.",AI,Easy,06,Final,Unit 1

132,"Give the outline of Uniform cost search algorithm.",AI,Medium,06,Final,Unit 2
133,"Explain A* algorithm for the shortest path.",AI,Easy,06,Final,Unit 2
134,"What is alpha-beta pruning? Explain the function of alpha-beta pruning.",AI,Hard,06,Final,Unit 2
135,"Write A* algorithm and discuss the various observations about algorithm.",AI,Medium,06,Final,Unit 2
136,"Explain how the steepest accent hill climbing works and Heuristic functions?",AI,Medium,06,Final,Unit 2

137,"List and Explain the issues in knowledge representation.",AI,Medium,06,Final,Unit 3
138,"State representation of facts in propositional logic with an example.",AI,Easy,06,Final,Unit 3
139,"Differentiate between forward and backward reasoning.",AI,Hard,06,Final,Unit 3
140,"Explain the production based knowledge representation technique.",AI,Medium,06,Final,Unit 3
141,"Give outline of simple forward Chaining algorithm with suitable example.",AI,Easy,06,Final,Unit 3
142,"What is planning? What is need of planning.",AI,Easy,06,Final,Unit 3

143,"Compare and contrast the following:Forward Vs. Backward Reasoning",AI,Medium,06,Final,Unit 4
144,"Explain Bayesian Network.",AI,Medium,06,Final,Unit 4
145,"What is fuzzy set? Explain degree of membership. How does are represent a fuzzy set in a computer.",AI,Easy,06,Final,Unit 4
146,"Discuss briefly about Bayesian Network.",AI,Hard,06,Final,Unit 4
147,"Explain about Dempster-shafer theory.",AI,Hard,06,Final,Unit 4
148,"List out the planning terminologies and components of planning.",AI,Easy,06,Final,Unit 4

149,"What is Natural Language Processing? Explain various types of NLP techniques.",AI,Easy,06,Final,Unit 5
150,"Comparison between Syntactic Processing & Semantic Processing.",AI,Medium,06,Final,Unit 5
151,"With neat sketch, explain the architecture, characteristics features and roles of expert system.",AI,Hard,06,Final,Unit 5
152,"What is Natural Language Processing? Explain various types of NLP techniques.",AI,Easy,06,Final,Unit 5
153,"What is Expert system? Explain its Architecture, Features & applications.",AI,Medium,06,Final,Unit 5


154,"What is design thinking and explain the principles of design thinking?",Design Thinking,Easy,06,Final,Unit 1
155,"Explain the different phases of design thinking process.",Design Thinking,Easy,06,Final,Unit 1
156,"Explain human centered design process.",Design Thinking,Easy,06,Final,Unit 1
157,"Explain the different phases of design thinking process.",Design Thinking,Medium,06,Final,Unit 1
158,"Explain of Human-Centered Design (HCD) process?",Design Thinking,Medium,06,Final,Unit 1
159,"Elaborate two models of design thinking?",Design Thinking,Hard,06,Final,Unit 1
160,"What is the goal of the Design Thinking process?",Design Thinking,E,06,Final,Unit 1
161,"Explain design thinking Tools.",Design Thinking,Medium,06,Final,Unit 1
162,"Define Design Thinking. What is Origin of Design Thinking?",Design Thinking,Hard,06,Final,Unit 1
163,"Describe Design Thinking as a strategy for business Innovation?",Design Thinking,Hard,06,Final,Unit 1
164,"Explain any five Design Thinking Applications in detail.",Design Thinking,Medium,06,Final,Unit 1
165,"Explain Importance of Design Thinking.",Design Thinking,Easy,06,Final,Unit 1

166,"Discuss the role of Empathy in Design Thinking?",Design Thinking,Medium,06,Final,Unit 2
167,"Discuss the creation of user personas?",Design Thinking,Medium,06,Final,Unit 2
168,"Explain the concept of Customer Journey mapping.",Design Thinking,Medium,06,Final,Unit 2
169,"What is emphasize? Explain the role of empathy in design thinking.",Design Thinking,Easy,06,Final,Unit 2
170,"Explain the role empathy maps in design thinking process.",Design Thinking,Easy,06,Final,Unit 2
171,"How to Emphasize explain in detail.",Design Thinking,Hard,06,Final,Unit 2
172,"Why to use Empathy Maps.",Design Thinking,Easy,06,Final,Unit 2
173,"Explain the process of How to create an empathy map.",Design Thinking,Medium,06,Final,Unit 2
174,"What are the things to be done before empathy mapping",Design Thinking,Hard,06,Final,Unit 2
175,"Why is user persona important?",Design Thinking,Easy,06,Final,Unit 2
176,"Create a CJM of the persona , priya, 30,from Bengaluru , priya creating a presentation for her work.",Design Thinking,Hard,06,Final,Unit 2
177,"What new perspectives does design thinking offer.",Design Thinking,Hard,06,Final,Unit 2

178,"Explain of Inventive principles and their applications.",Design Thinking,Hard,06,Final,Unit 3
179,"What is root cause analysis? What are its goals and benefits?",Design Thinking,Easy,06,Final,Unit 3
180,"What is TRIZ? Explain the use of TRIZ methods in industry.",Design Thinking,Medium,06,Final,Unit 3
181,"Explain the term Conflict of interest with example.",Design Thinking,Medium,06,Final,Unit 3
182,"What is conflict of interest explain its types.",Design Thinking,Hard,06,Final,Unit 3
183,"How to apply the 5 Whys tool.",Design Thinking,Easy,06,Final,Unit 3
184,"Explain Big picture through System operator",Design Thinking,Hard,06,Final,Unit 3
185,"Explain Big picture through function modeling silent brainstorming",Design Thinking,Hard,06,Final,Unit 3
186,"Write a note on metaphors for ideation.",Design Thinking,Medium,06,Final,Unit 3
187,"Write a note on CREATE and What if tools for ideation.",Design Thinking,Easy,06,Final,Unit 3

188,"Explain prototyping and its advantages in design thinking.",Design Thinking,Easy,06,Final,Unit 4
189,"What is Market Validation? Explain the steps to determine market validation.",Design Thinking,Hard,06,Final,Unit 4
190,"Explain the Best practices of presentation. Preparing for your Market Research Presentation.",Design Thinking,Medium,06,Final,Unit 4
191,"Define prototyping? Explain Low-Fidelity and High-Fidelity Prototyping in detail.",Design Thinking,Easy,06,Final,Unit 4
192,"Explain Pros and Cons of Low-Fidelity and High-Fidelity Prototyping",Design Thinking,Easy,06,Final,Unit 4
193,"Explain Assumption during design thinking process.",Design Thinking,Hard,06,Final,Unit 4
194,"Explain Creative prototyping methodologies.",Design Thinking,Hard,06,Final,Unit 4
195,"Explain Best prototype presentation techniques.",Design Thinking,Medium,06,Final,Unit 4
196,"Explain the Best practices of presentation. Preparing for your Market Research Presentation",Design Thinking,Hard,06,Final,Unit 4

197,"What are the benefits of iteration in the design thinking process?",Design Thinking,Easy,06,Final,Unit 5
198,"Discuss about the techniques for taking the Idea to the market.",Design Thinking,Medium,06,Final,Unit 5
199,"Explain how innovation management is done in a company.",Design Thinking,Hard,06,Final,Unit 5
200,"What are the benefits of iteration in the design thinking process?",Design Thinking,Easy,06,Final,Unit 5
201,"What are the techniques for taking the Idea to the market?",Design Thinking,Hard,06,Final,Unit 5
202,"What Are the Steps of an Iterative-Design Process?",Design Thinking,Medium,06,Final,Unit 5
203,"Explain how innovation management is done in a company.",Design Thinking,Medium,06,Final,Unit 5
204,"What are the benefits of iteration in the design thinking process?",Design Thinking,Hard,06,Final,Unit 5
205,"What are the techniques for taking the Idea to the market.",Design Thinking,Easy,06,Final,Unit 5

206,"Enlist the characteristics of Big Data.",Big Data,Easy,06,Final,Unit 1
207,"Mention various distribution packages of Big Data",Big Data,Medium,06,Final,Unit 1
208,"Explain different applications of Bigdata in detail.",Big Data,Hard,06,Final,Unit 1
209,"Explain the applications and challenges associated with big data.",Big Data,Easy,06,Final,Unit 1
210,"Describe the characteristics of Big Data with an Example.",Big Data,Medium,06,Final,Unit 1
211,"Write note on enabling Technologies for Big Data",Big Data,Hard,06,Final,Unit 1
212,"Draw and explain the Big Data Stack.",Big Data,Easy,06,Final,Unit 1
213,"Give the enabling technologies of Big Data Explain with an Example.",Big Data,Medium,06,Final,Unit 1
214,"Enlist and explain in brief the motivation behind emergence of Big Data?",Big Data,Hard,06,Final,Unit 1
215,"Identify and discussed the two major challenges associated with Big Data processing.",Big Data,Easy,06,Final,Unit 1
216,"Explain Big Data stack with suitable example.",Big Data,Medium,06,Final,Unit 1

217,"Define and explain HDFS. Explain its role in Big Data Ecosystem.",Big Data,Easy,06,Final,Unit 2
218,"Explain the functionalities of YARN in the context of big data processing.",Big Data,Medium,06,Final,Unit 2
219,"What is HDFS? What are the Features of HDFS?",Big Data,Hard,06,Final,Unit 2
220,"Explain the CAP theorem in detail.",Big Data,Easy,06,Final,Unit 2
221,"What is Cassandra? Differentiate NoSQL and relational database",Big Data,Medium,06,Final,Unit 2
222,"What is CAP theorem? Explain the consistency trade-off.",Big Data,Hard,06,Final,Unit 2
223,"Explain Map-Reduce programming model with spark in the perspective of word count example.",Big Data,Easy,06,Final,Unit 2
224,"Differentiate ACID and BASE. Which of the property you will apply for airline reservations explain.",Big Data,Medium,06,Final,Unit 2
225,"Explain HBase in detail and compare it with traditional database system",Big Data,Hard,06,Final,Unit 2
226,"Explain HDFS with respect to name node and data node.",Big Data,Easy,06,Final,Unit 2
227,"Explain working of MapReduce by using the Word Count example.",Big Data,Medium,06,Final,Unit 2

228,"Give any three typical use cases of streaming data.",Big Data,Easy,06,Final,Unit 3
229,"Describe in brief the Apache Kafka.",Big Data,Medium,06,Final,Unit 3
230,"Explain Spark streaming in detail.",Big Data,Hard,06,Final,Unit 3
231,"Enlist and Explain components of a big data pipeline.",Big Data,Easy,06,Final,Unit 3
232,"What are the components of KAFKA? Explain need of KAFKA.",Big Data,Medium,06,Final,Unit 3
233,"What are the different features of a real-time big data pipeline system?",Big Data,Hard,06,Final,Unit 3
234,"What is mahout? Explain the features and Applications of Mahout.",Big Data,Easy,06,Final,Unit 3
235,"Explain K-Means clustering and Naïve Bayes Classification Algorithm.",Big Data,Medium,06,Final,Unit 3
236,"What is Apache Spark? Draw and explain the Components of Spark.",Big Data,Hard,06,Final,Unit 3
237,"Explain in brief the key features of spark streaming.",Big Data,Easy,06,Final,Unit 3
238,"Explain in detail the role of KAFKA in building real time data pipeline.",Big Data,Medium,06,Final,Unit 3
239,"Write a note on the significance of big data streaming platforms in handling big data.",Big Data,Hard,06,Final,Unit 3

240,"Why machine learning is important in the context of Big Data.",Big Data,Easy,06,Final,Unit 4
241,"Compare Spark GraphX and Giraph in the context of graph processing.",Big Data,Medium,06,Final,Unit 4
242,"What is a Messaging System? Explain the Role and working of KAFKA.",Big Data,Hard,06,Final,Unit 4
243,"What is Data Streaming? Explain Big Data Streaming Architecture",Big Data,Easy,06,Final,Unit 4
244,"Draw and explain Kappa architecture of real-time Big Data Pipeline",Big Data,Medium,06,Final,Unit 4
245,"Explain applications of machine learning for handling big data.",Big Data,Hard,06,Final,Unit 4
246,"Compare Spark Pergel and Giraph.",Big Data,Easy,06,Final,Unit 4
247,"Explain the Naive-Bays algorithm and its applications for big data",Big Data,Medium,06,Final,Unit 4
248,"Explain the role of Machine Learning techniques in Big Data processing",Big Data,Hard,06,Final,Unit 4
249,"Discuss about different Mahout algorithms for Bigdata processing",Big Data,Easy,06,Final,Unit 4
250,"What is Graph processing? Explain Giraph in detail.",Big Data,Hard,06,Final,Unit 4

251,"Describe the key features of Mongo DB.",Big Data,Easy,06,Final,Unit 5
252,"Write short note on Documents and Collections in Mongo DB.",Big Data,Medium,06,Final,Unit 5
253,"Explain CRUD operations in Mongo DB with example.",Big Data,Hard,06,Final,Unit 5
254,"What are the principles of schema design in Mongo DB?",Big Data,Easy,06,Final,Unit 5
255,"How to interact with Mongo DB using java script shell explain with suitable example.",Big Data,Medium,06,Final,Unit 5
256,"What are key features of Mongo DB that make it suitable for Big Data applications? Write syntax and structure of Mongo DB.",Big Data,Hard,06,Final,Unit 5
257,"What is MongoDB? Write difference between MongoDB and RDBMS.",Big Data,Easy,06,Final,Unit 5
258,"What is NoSQL databases? What are the types of NoSQL databases?",Big Data,Medium,06,Final,Unit 5
259,"Where we can use MongoDB? Write the Features of MongoDB.",Big Data,Easy,06,Final,Unit 5
260,"Discuss the advantages of using the JavaScript shell for MongoDB queries.",Big Data,Hard,06,Final,Unit 5
261,"Explain the syntax and structure of the MongoDB query language. Provide an example of a complex query in MongoDB.",Big Data,Medium,06,Final,Unit 5


261,"What is Blockchain? Explain key elements of it.",Blockchain,Easy,06,Final,Unit 1
262,"Difference between public vs. private Blockchain.",Blockchain,Medium,06,Final,Unit 1
263,"Explain Merkel Tree and Merkel Tree Structure.",Blockchain,Hard,06,Final,Unit 1
264,"Draw and explain layered architecture of Blockchain system.",Blockchain,Easy,06,Final,Unit 1
265,"What is Hash function? Explain its characteristics.",Blockchain,Medium,06,Final,Unit 1
266,"What Are the 4 Different Types of Blockchain Technology? Explain with advantages and disadvantages of each type.",Blockchain,Hard,06,Final,Unit 1
267,"What are the benefits of Smart contracts?",Blockchain,Easy,06,Final,Unit 1
268,"Explain Distributed Consensus.",Blockchain,Medium,06,Final,Unit 1
269,"Explain Security aspects of Blockchain.",Blockchain,Hard,06,Final,Unit 1
270,"How does the hashing process works?",Blockchain,Easy,06,Final,Unit 1
271,"How do P2P networks work? Explain its type.Blockchain,Medium,06,Final,Unit 1

271,"What is Bitcoin? What are the advantages and disadvantages of Bitcoin as Currency?",Blockchain,Easy,06,Final,Unit 2
272,"Explain permissioned Blockchain with their characteristics",Blockchain,Medium,06,Final,Unit 2
273,"Explain Proof of Stake and Proof of Elapsed Time",Blockchain,Hard,06,Final,Unit 2
274,"Explain PoW and Proof of Burn.",Blockchain,Easy,06,Final,Unit 2
275,"Explain payments and double spending",Blockchain,Medium,06,Final,Unit 2
276,"Explain Attacks on PoW and the monopoly problem",Blockchain,Hard,06,Final,Unit 2
277,"Explain Mining difficulties.",Blockchain,Easy,06,Final,Unit 2
278,"Explain any one application of smart contract",Blockchain,Medium,06,Final,Unit 2
279,"What is Double spending explain with suitable example.",Blockchain,Hard,06,Final,Unit 2

280," Explain permissioned model and use cases.",Blockchain,Easy,06,Final,Unit 3
281," Explain any 3 Design issues for Permissioned blockchains",Blockchain,Medium,06,Final,Unit 3
282,"Explain State machine replication.",Blockchain,Hard,06,Final,Unit 3
283," Explain Paxos — A distributed consensus algorithm.",Blockchain,Easy,06,Final,Unit 3
284,"Explain RAFT consensus.",Blockchain,Medium,06,Final,Unit 3
285,"Explain Byzantine general problem.",Blockchain,Hard,06,Final,Unit 3
286,"Lamport-Shostak-Pease BFT Algorithm",Blockchain,Easy,06,Final,Unit 3
287,"What the various steps of executing Smart Contract explain with suitable example?",Blockchain,Medium,06,Final,Unit 3
288,"Write a difference between permission and permissionless Blockchain.",Blockchain,Hard,06,Final,Unit 3
289,"What is Byzantine general problem and How Bitcoin Solves the Byzantine General’s Problem?Blockchain,Hard,06,Final,Unit 3

290,"Explain Cross border payments application.",Blockchain,Easy,06,Final,Unit 4
291,"Explain Know Your Customer (KYC) application",Blockchain,Medium,06,Final,Unit 4
292,"Explain Food Security application.",Blockchain,Hard,06,Final,Unit 4
293,"Explain We Trade –Trade Finance Network application.",Blockchain,Easy,06,Final,Unit 4
294,"Explain Supply Chain Financing application",Blockchain,Medium,06,Final,Unit 4
295,"How KYC on Blockchain can help?",Blockchain,Hard,06,Final,Unit 4
296,"How Blockchain benefits food security in future?",Blockchain,Easy,06,Final,Unit 4
297,"How does Digital Identity work today using Blockchain?",Blockchain,Medium,06,Final,Unit 4
298,"What is KYC? Explain the Shared KYC model based on Blockchain?",Blockchain,Hard,06,Final,Unit 4
299,"What is the blockchain mortgage process? Explain it with a suitable example. The advantages of blockchain in mortgages.",Blockchain,Easy,06,Final,Unit 4
300,"What is Supply Chain Financing? Give an example with justification.",Blockchain,Medium,06,Final,Unit 4

301,"Draw and explain the architecture of Hyperledger Fabric.",Blockchain,Easy,06,Final,Unit 5
302,"Explain the procedures needed in creating a smart contract based on Ethereum.",Blockchain,Medium,06,Final,Unit 5
303,"Explain the Ripple Protocol Consensus Algorithm (RPCA)",Blockchain,Hard,06,Final,Unit 5
304,"Explain Hyperledger Fabric and how does it work?",Blockchain,Easy,06,Final,Unit 5
305,"What are the benefits of Hyperledger Fabric?",Blockchain,Medium,06,Final,Unit 5
306,"Explain writing smart contract using Ethereum ?",Blockchain,Hard,06,Final,Unit 5

307,"Write a short note on nature of consumer behavior.",Consumer Behavior,Easy,06,Third,Unit 1
308,"Explain the quantitative & qualitative approach.",Consumer Behavior,Medium,06,Third,Unit 1
309,"Write the information about basics of consumer behavior.",Consumer Behavior,Hard,06,Third,Unit 1
310,"What do you mean by consumer behavior? Explain the determinants or factors that influence consumer behavior.",Consumer Behavior,Easy,06,Third,Unit 1
311,"Write a short note on nature and trend of consumer behavior.",Consumer Behavior,Medium,06,Third,Unit 1
